[    2488ms] [INFO] LegacyDataMixin will be applied to all legacy elements.
Set `_legacyUndefinedCheck: true` on element class to enable. @ https://www.youtube.com/s/_/ytmainappweb/_/js/k=ytmainappweb.kevlar_base.en_US.81_ruFHWKHQ.es5.O/am=AAAAAAEABAAJ/d=1/br=1/rs=AGKMywE4sT_-0hQAgfq5fUjBxiDOYVtZ2Q/m=kevlar_base_module,kevlar_main_module,kevlar_base_sync_mod_chunk:9712
[   22217ms] [INFO] Banner not shown: beforeinstallpromptevent.preventDefault() called. The page must call beforeinstallpromptevent.prompt() to show the banner. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
[   26123ms] [WARNING] The resource https://rr4---sn-q4flrn7r.googlevideo.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
[   26123ms] [WARNING] The resource https://i.ytimg.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
[   26123ms] [WARNING] The resource https://rr4---sn-q4flrn7r.c.youtube.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
[   27584ms] [ERROR] Access to XMLHttpRequest at 'https://ad.doubleclick.net/ddm/trackimp/N1406520.3675668YOUTUBE-GOOGLEAD/B32730949.439790532;dc_pre=CI31qILntZQDFbJvKwMdFpEvfg;dc_trk_aid=601573827;dc_trk_cid=226327034;ord=215643931;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;gdpr=;gdpr_consent=;ltd=;dc_tdv=1;dc_transparent=1;;dc_rui=1;dc_exteid=15127801486119188175;dc_av=536;dc_sk=1;dc_ctype=161;dc_ref=http://www.youtube.com/video/8nDZQyZklEk;dc_eps=AHas8cD6jHq5ETvg37QoxBzygmchr_zfOeBQlqxsqsvFtwakL2HoFSoJRg424V5YznKCjwFYm0QvRMcD7geiew;dc_pubid=2;dc_btype=23?gclid=CjwKCAjwwpDQBhAuEiwAa-4Wo-OZXXu6n4qI4VTgRCxVcK1gd65BkSx6fIW2OR-lw4xQyiDQ3k2bbRoCBygQAvD_BwE&ase=2&nis=6' (redirected from 'https://ad.doubleclick.net/ddm/trackimp/N1406520.3675668YOUTUBE-GOOGLEAD/B32730949.439790532;dc_trk_aid=601573827;dc_trk_cid=226327034;ord=215643931;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;gdpr=;gdpr_consent=;ltd=;dc_tdv=1;dc_transparent=1;;dc_rui=1;dc_exteid=15127801486119188175;dc_av=536;dc_sk=1;dc_ctype=161;dc_ref=http://www.youtube.com/video/8nDZQyZklEk;dc_eps=AHas8cD6jHq5ETvg37QoxBzygmchr_zfOeBQlqxsqsvFtwakL2HoFSoJRg424V5YznKCjwFYm0QvRMcD7geiew;dc_pubid=2;dc_btype=23?gclid=CjwKCAjwwpDQBhAuEiwAa-4Wo-OZXXu6n4qI4VTgRCxVcK1gd65BkSx6fIW2OR-lw4xQyiDQ3k2bbRoCBygQAvD_BwE&ase=2&nis=6') from origin 'https://www.youtube.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
[   27584ms] [ERROR] Failed to load resource: net::ERR_FAILED @ https://ad.doubleclick.net/ddm/trackimp/N1406520.3675668YOUTUBE-GOOGLEAD/B32730949.439790532;dc_pre=CI31qILntZQDFbJvKwMdFpEvfg;dc_trk_aid=601573827;dc_trk_cid=226327034;ord=215643931;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;gdpr=;gdpr_consent=;ltd=;dc_tdv=1;dc_transparent=1;;dc_rui=1;dc_exteid=15127801486119188175;dc_av=536;dc_sk=1;dc_ctype=161;dc_ref=http://www.youtube.com/video/8nDZQyZklEk;dc_eps=AHas8cD6jHq5ETvg37QoxBzygmchr_zfOeBQlqxsqsvFtwakL2HoFSoJRg424V5YznKCjwFYm0QvRMcD7geiew;dc_pubid=2;dc_btype=23?gclid=CjwKCAjwwpDQBhAuEiwAa-4Wo-OZXXu6n4qI4VTgRCxVcK1gd65BkSx6fIW2OR-lw4xQyiDQ3k2bbRoCBygQAvD_BwE&ase=2&nis=6:0
[   36264ms] [WARNING] The resource https://rr4---sn-q4flrn7r.googlevideo.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
[   36264ms] [WARNING] The resource https://i.ytimg.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
[   36264ms] [WARNING] The resource https://rr4---sn-q4flrn7r.c.youtube.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
[   39449ms] [WARNING] The resource https://rr4---sn-q4flrn7r.googlevideo.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
[   39449ms] [WARNING] The resource https://i.ytimg.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=8nDZQyZklEk:0
