[    1524ms] [INFO] LegacyDataMixin will be applied to all legacy elements.
Set `_legacyUndefinedCheck: true` on element class to enable. @ https://www.youtube.com/s/_/ytmainappweb/_/js/k=ytmainappweb.kevlar_base.en_US.SwwDebEaYf8.es5.O/am=AAAAQAAAAgk/d=1/br=1/rs=AGKMywESHV6YstCpbk-mfmSXWR8fQ_BpUw/m=kevlar_base_module,kevlar_main_module,kevlar_base_sync_mod_chunk:9703
[    1972ms] [INFO] Banner not shown: beforeinstallpromptevent.preventDefault() called. The page must call beforeinstallpromptevent.prompt() to show the banner. @ https://www.youtube.com/watch?v=2C7I8OVE174:0
[    9008ms] [WARNING] The resource https://rr3---sn-q4flrn7r.googlevideo.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=2C7I8OVE174:0
[    9008ms] [WARNING] The resource https://i.ytimg.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=2C7I8OVE174:0
[    9008ms] [WARNING] The resource https://rr4---sn-q4fl6nsl.c.youtube.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=2C7I8OVE174:0
[    9008ms] [WARNING] The resource https://rr4---sn-q4fl6nsl.googlevideo.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=2C7I8OVE174:0
[   14433ms] [WARNING] The resource https://rr3---sn-q4flrn7r.googlevideo.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=2C7I8OVE174:0
[   14433ms] [WARNING] The resource https://i.ytimg.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=2C7I8OVE174:0
[   14433ms] [WARNING] The resource https://rr4---sn-q4fl6nsl.c.youtube.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=2C7I8OVE174:0
[   14433ms] [WARNING] The resource https://rr4---sn-q4fl6nsl.googlevideo.com/generate_204 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://www.youtube.com/watch?v=2C7I8OVE174:0
